set_counter,experiment_id,start_year,end_year,esm_id,time_range
C001,historical,1850,2014,CESM2-WACCM,1850-2014
C002,historical,1850,2014,MRI-ESM2-0,1850-2014
C003,ssp370,2015,2100,CESM2-WACCM,2015-2100
C004,ssp370,2015,2100,MRI-ESM2-0,2015-2100
C005,ssp126,2015,2300,CESM2-WACCM,2015-2300
C006,ssp126,2015,2300,MRI-ESM2-0,2015-2300
C007,ssp585,2015,2300,CESM2-WACCM,2015-2300
C008,ssp585,2015,2300,MRI-ESM2-0,2015-2300
C009,ctrl2015,2015,2300,CESM2-WACCM,2015-2300
C010,ctrl2015,2015,2300,MRI-ESM2-0,2015-2300
C011,ocx,1990,2025,-,1990-2025
